사용월,호선명,역ID,지하철역,승차승객수,하차승객수,
2021-04,1호선,1,서울역,"1,107,637","1,052,829",
2021-04,1호선,10,동묘앞,"272,242","284,387",
2021-04,1호선,2,시청,"529,924","534,769",
2021-04,1호선,3,종각,"860,222","826,532",
2021-04,1호선,4,종로3가,"677,026","619,117",
2021-04,1호선,5,종로5가,"587,948","583,494",
2021-04,1호선,6,동대문,"317,256","304,298",
2021-04,1호선,7,신설동,"368,995","361,696",
2021-04,1호선,8,제기동,"474,721","486,265",
2021-04,1호선,9,청량리(서울시립대입구),"564,290","559,223",
2021-04,2호선,11,시청,"564,818","540,404",
2021-04,2호선,12,을지로입구,"959,841","972,565",
2021-04,2호선,13,을지로3가,"533,326","525,466",
2021-04,2호선,14,을지로4가,"321,321","319,805",
2021-04,2호선,15,동대문역사문화공원(DDP),"314,835","351,057",
2021-04,2호선,16,신당,"371,956","386,281",
2021-04,2호선,17,상왕십리,"373,542","361,504",
2021-04,2호선,18,왕십리(성동구청),"433,579","352,411",
2021-04,2호선,19,한양대,"215,666","232,163",
2021-04,2호선,20,뚝섬,"591,794","625,762",
2021-04,2호선,21,성수,"882,740","966,970",
2021-04,2호선,22,건대입구,"943,030","992,969",
2021-04,2호선,23,구의(광진구청),"614,098","606,932",
2021-04,2호선,24,강변(동서울터미널),"816,497","805,378",
2021-04,2호선,25,잠실나루,"366,894","360,140",
2021-04,2호선,26,잠실(송파구청),"1,777,076","1,744,998",
2021-04,2호선,27,잠실새내,"550,005","552,415",
2021-04,2호선,28,종합운동장,"212,107","230,070",
2021-04,2호선,29,삼성(무역센터),"1,267,917","1,285,069",
2021-04,2호선,30,선릉,"1,368,120","1,223,428",
2021-04,2호선,31,역삼,"1,234,289","1,353,056",
2021-04,2호선,32,강남,"2,154,436","2,121,008",
2021-04,2호선,33,교대(법원.검찰청),"855,873","963,012",
2021-04,2호선,34,서초,"556,960","536,468",
2021-04,2호선,35,방배,"445,218","465,065",
2021-04,2호선,36,사당,"964,859","1,060,083",
2021-04,2호선,37,낙성대(강감찬),"733,994","711,122",
2021-04,2호선,38,서울대입구(관악구청),"1,267,156","1,241,749",
2021-04,2호선,39,봉천,"645,807","601,557",
2021-04,2호선,40,신림,"1,685,611","1,633,322",
2021-04,2호선,41,신대방,"714,041","697,148",
2021-04,2호선,42,구로디지털단지,"1,584,915","1,586,716",
2021-04,2호선,43,대림(구로구청),"670,639","687,699",
2021-04,2호선,44,신도림,"1,317,767","1,294,236",
2021-04,2호선,45,문래,"547,973","562,564",
2021-04,2호선,46,영등포구청,"590,977","600,351",
2021-04,2호선,47,당산,"504,324","582,703",
2021-04,2호선,48,합정,"816,967","858,914",
2021-04,2호선,49,홍대입구,"1,406,623","1,467,109",
2021-04,2호선,50,신촌,"857,840","882,311",
2021-04,2호선,51,이대,"325,004","337,130",
2021-04,2호선,52,아현,"279,793","270,101",
2021-04,2호선,53,충정로(경기대입구),"257,931","272,331",
2021-04,2호선,54,용답,"72,704","73,419",
2021-04,2호선,55,신답,"41,425","47,451",
2021-04,2호선,56,신설동,"94,524","93,836",
2021-04,2호선,57,도림천,"37,105","38,563",
2021-04,2호선,58,양천구청,"179,150","189,246",
2021-04,2호선,59,신정네거리,"277,737","286,581",
2021-04,2호선,60,용두(동대문구청),"62,331","63,846",
2021-04,3호선,61,지축,"106,003","102,887",
2021-04,3호선,62,구파발,"548,616","525,479",
2021-04,3호선,63,연신내,"1,012,469","952,817",
2021-04,3호선,64,불광,"444,051","480,564",
2021-04,3호선,65,녹번,"390,179","356,213",
2021-04,3호선,66,홍제,"473,178","450,782",
2021-04,3호선,67,무악재,"103,602","105,567",
2021-04,3호선,68,독립문,"197,328","206,858",
2021-04,3호선,69,경복궁(정부서울청사),"508,494","504,968",
2021-04,3호선,70,안국,"505,385","530,888",
2021-04,3호선,71,종로3가,"250,726","295,665",
2021-04,3호선,72,을지로3가,"258,087","268,942",
2021-04,3호선,73,충무로,35,0,
2021-04,3호선,74,동대입구,"215,024","233,336",
2021-04,3호선,75,약수,"343,160","333,539",
2021-04,3호선,76,금호,"220,650","208,829",
2021-04,3호선,77,옥수,"248,443","258,009",
2021-04,3호선,78,압구정,"824,971","874,001",
2021-04,3호선,79,신사,"799,165","829,965",
2021-04,3호선,80,잠원,"129,684","127,859",
2021-04,3호선,81,고속터미널,"1,141,994","1,120,547",
2021-04,3호선,82,교대(법원.검찰청),"355,216","229,933",
2021-04,3호선,83,남부터미널(예술의전당),"750,556","772,191",
2021-04,3호선,84,양재(서초구청),"992,413","1,070,932",
2021-04,3호선,85,매봉,"317,402","305,298",
2021-04,3호선,86,도곡,"145,205","147,307",
2021-04,3호선,87,대치,"286,144","282,724",
2021-04,3호선,88,학여울,"61,313","63,571",
2021-04,3호선,89,대청,"255,915","235,821",
2021-04,3호선,90,일원,"251,367","246,839",
2021-04,3호선,91,수서,"456,291","464,219",
2021-04,3호선,92,가락시장,"237,628","234,424",
2021-04,3호선,93,경찰병원,"192,811","193,579",
2021-04,3호선,94,오금,"161,393","147,138",
2021-04,4호선,100,수유(강북구청),"916,168","908,818",
2021-04,4호선,101,미아(서울사이버대학),"406,079","394,502",
2021-04,4호선,102,미아사거리,"750,292","728,754",
2021-04,4호선,103,길음,"538,641","524,341",
2021-04,4호선,104,성신여대입구(돈암),"538,824","511,707",
2021-04,4호선,105,한성대입구(삼선교),"372,317","363,411",
2021-04,4호선,106,혜화,"823,761","827,312",
2021-04,4호선,107,동대문,"530,243","545,408",
2021-04,4호선,108,동대문역사문화공원(DDP),"382,688","354,392",
2021-04,4호선,109,충무로,"659,297","680,126",
2021-04,4호선,110,명동,"458,288","478,780",
2021-04,4호선,111,회현(남대문시장),"618,699","652,530",
2021-04,4호선,112,서울역,"271,690","397,069",
2021-04,4호선,113,숙대입구(갈월),"342,827","335,385",
2021-04,4호선,114,삼각지,"129,011","144,230",
2021-04,4호선,115,신용산,"399,025","418,330",
2021-04,4호선,116,이촌(국립중앙박물관),"197,338","222,470",
2021-04,4호선,117,동작(현충원),"75,741","80,381",
2021-04,4호선,118,총신대입구(이수),"505,858","549,573",
2021-04,4호선,119,사당,"655,929","557,242",
2021-04,4호선,120,남태령,"33,506","29,553",
2021-04,4호선,95,당고개,"348,418","321,380",
2021-04,4호선,96,상계,"514,288","479,140",
2021-04,4호선,97,노원,"511,488","567,064",
2021-04,4호선,98,창동,"687,422","729,581",
2021-04,4호선,99,쌍문,"786,663","723,876",
2021-04,경부선,121,서울역,"152,258","47,156",
2021-04,경부선,122,남영,"249,685","260,469",
2021-04,경부선,123,용산,"884,480","893,671",
2021-04,경부선,124,노량진,"240,946","240,615",
2021-04,경부선,125,대방,"341,668","350,161",
2021-04,경부선,126,영등포,"1,047,207","1,074,945",
2021-04,경부선,127,신도림,"113,185","113,617",
2021-04,경부선,151,신길,"254,667","217,049",
2021-04,경부선,249,구로,"508,674","519,623",
2021-04,경부선,250,가산디지털단지,"449,932","531,470",
2021-04,경부선,251,금천구청,"320,821","320,355",
2021-04,경부선,252,석수,"268,512","241,775",
2021-04,경부선,253,관악,"203,761","189,402",
2021-04,경부선,254,안양,"664,461","665,132",
2021-04,경부선,255,명학,"237,273","234,791",
2021-04,경부선,256,금정,"703,830","714,715",
2021-04,경부선,257,군포,"199,802","197,000",
2021-04,경부선,258,의왕,"239,332","238,560",
2021-04,경부선,259,성균관대,"393,805","389,884",
2021-04,경부선,260,화서,"200,994","195,536",
2021-04,경부선,261,수원,"999,444","1,045,315",
2021-04,경부선,262,독산,"427,457","449,849",
2021-04,경부선,263,세류,"82,651","79,053",
2021-04,경부선,264,병점,"385,771","390,084",
2021-04,경부선,265,세마,"72,930","67,529",
2021-04,경부선,266,오산대,"100,186","92,887",
2021-04,경부선,267,오산,"276,917","273,665",
2021-04,경부선,268,진위,"43,342","38,071",
2021-04,경부선,269,송탄,"122,435","115,676",
2021-04,경부선,270,서정리,"186,410","177,330",
2021-04,경부선,271,지제,"82,389","78,036",
2021-04,경부선,272,평택,"347,591","341,421",
2021-04,경부선,273,성환,"104,396","103,689",
2021-04,경부선,274,직산,"21,006","21,211",
2021-04,경부선,275,두정,"156,103","159,270",
2021-04,경부선,276,천안,"153,316","153,452",
2021-04,경부선,277,당정,"165,958","159,920",
2021-04,경부선,278,서동탄,"41,158","36,783",
2021-04,경부선,279,광명,"86,578","75,582",
2021-04,경인선,293,개봉,"582,681","593,562",
2021-04,경인선,294,오류동,"330,153","309,586",
2021-04,경인선,295,역곡,"756,905","750,262",
2021-04,경인선,296,부천,"913,793","919,516",
2021-04,경인선,297,송내,"734,183","733,721",
2021-04,경인선,298,부평,"847,602","902,280",
2021-04,경인선,299,백운,"195,254","194,196",
2021-04,경인선,300,동암,"420,737","422,416",
2021-04,경인선,301,주안,"523,714","472,459",
2021-04,경인선,302,제물포,"291,808","280,581",
2021-04,경인선,303,동인천,"385,397","366,634",
2021-04,경인선,304,인천,"108,165","85,022",
2021-04,경인선,305,구일,"188,609","193,102",
2021-04,경인선,306,소사,"260,500","249,263",
2021-04,경인선,307,부개,"232,125","217,547",
2021-04,경인선,308,간석,"161,812","154,212",
2021-04,경인선,309,도원,"88,721","89,998",
2021-04,경인선,310,온수(성공회대입구),"188,409","182,479",
2021-04,경인선,311,중동,"247,495","234,637",
2021-04,경인선,312,도화,"115,291","107,156",
2021-04,경원선,128,이촌(국립중앙박물관),"106,488","80,734",
2021-04,경원선,129,서빙고,"51,407","47,204",
2021-04,경원선,130,한남,"109,906","103,872",
2021-04,경원선,131,옥수,"1,652","1,007",
2021-04,경원선,132,응봉,"53,173","47,828",
2021-04,경원선,133,왕십리(성동구청),"369,113","415,336",
2021-04,경원선,134,청량리(서울시립대입구),"415,347","442,405",
2021-04,경원선,136,외대앞,"193,861","193,321",
2021-04,경원선,137,신이문,"229,353","212,504",
2021-04,경원선,138,석계,"221,312","249,901",
2021-04,경원선,139,광운대,"234,063","226,368",
2021-04,경원선,140,월계,"181,196","170,082",
2021-04,경원선,141,녹천,"127,519","108,268",
2021-04,경원선,142,창동,11,0,
2021-04,경원선,358,방학,"261,070","255,680",
2021-04,경원선,359,도봉,"163,706","157,456",
2021-04,경원선,360,도봉산,"248,203","164,021",
2021-04,경원선,361,망월사,"206,607","211,274",
2021-04,경원선,362,회룡,"339,633","333,292",
2021-04,경원선,363,의정부,"503,801","518,940",
2021-04,경원선,364,가능,"178,215","172,391",
2021-04,경원선,365,녹양,"125,089","119,312",
2021-04,경원선,366,양주,"214,285","201,075",
2021-04,경원선,367,덕계,"82,334","74,627",
2021-04,경원선,368,덕정,"159,865","154,587",
2021-04,경원선,369,지행,"176,333","174,995",
2021-04,경원선,370,동두천중앙,"87,103","84,902",
2021-04,경원선,371,보산,"46,543","43,156",
2021-04,경원선,372,동두천,"60,444","72,901",
2021-04,경원선,373,소요산,"99,920","83,887",
2021-04,안산선,280,산본,"429,413","459,446",
2021-04,안산선,281,대야미,"141,516","126,635",
2021-04,안산선,282,반월,"120,016","114,829",
2021-04,안산선,283,상록수,"442,405","444,503",
2021-04,안산선,284,한대앞,"247,032","245,819",
2021-04,안산선,285,중앙,"481,444","499,511",
2021-04,안산선,286,고잔,"237,149","228,534",
2021-04,안산선,287,초지,"133,032","141,355",
2021-04,안산선,288,안산,"333,832","309,264",
2021-04,안산선,289,신길온천,"47,857","44,440",
2021-04,안산선,290,정왕,"257,851","266,793",
2021-04,안산선,291,오이도,"239,592","235,428",
2021-04,안산선,292,수리산,"117,813","101,710",
2021-04,과천선,230,선바위,"222,865","194,274",
2021-04,과천선,231,경마공원,"35,671","35,366",
2021-04,과천선,232,대공원,"128,504","133,380",
2021-04,과천선,233,과천,"150,274","138,929",
2021-04,과천선,234,정부과천청사,"257,502","256,648",
2021-04,과천선,235,인덕원,"626,551","637,187",
2021-04,과천선,236,평촌,"454,905","447,922",
2021-04,과천선,237,범계,"684,376","673,434",
2021-04,분당선,143,선릉,"325,238","483,938",
2021-04,분당선,144,한티,"362,177","380,960",
2021-04,분당선,145,도곡,"170,706","169,542",
2021-04,분당선,146,구룡,"52,422","51,558",
2021-04,분당선,147,개포동,"100,286","103,451",
2021-04,분당선,148,대모산입구,"92,779","86,717",
2021-04,분당선,149,수서,"365,194","376,972",
2021-04,분당선,150,복정,11,0,
2021-04,분당선,313,수원,"227,700","190,302",
2021-04,분당선,314,서울숲,"327,836","346,920",
2021-04,분당선,315,압구정로데오,"504,509","559,324",
2021-04,분당선,316,강남구청,"249,562","285,594",
2021-04,분당선,317,선정릉,"204,649","216,901",
2021-04,분당선,318,가천대,"231,312","257,560",
2021-04,분당선,319,태평,"365,982","353,232",
2021-04,분당선,320,모란,"569,748","573,191",
2021-04,분당선,321,야탑,"666,873","694,578",
2021-04,분당선,322,서현,"633,582","640,061",
2021-04,분당선,323,수내,"339,114","337,500",
2021-04,분당선,324,정자,"440,276","466,101",
2021-04,분당선,325,미금,"405,139","427,519",
2021-04,분당선,326,오리,"307,472","258,230",
2021-04,분당선,327,이매,"152,255","141,646",
2021-04,분당선,328,보정,"64,725","58,241",
2021-04,분당선,329,죽전,"355,775","391,560",
2021-04,분당선,330,구성,"128,353","133,807",
2021-04,분당선,331,신갈,"116,396","116,964",
2021-04,분당선,332,기흥,"250,701","237,889",
2021-04,분당선,333,상갈,"143,700","139,484",
2021-04,분당선,334,청명,"110,623","105,629",
2021-04,분당선,335,영통,"216,338","221,213",
2021-04,분당선,336,망포,"363,816","345,759",
2021-04,분당선,337,매탄권선,"129,316","125,088",
2021-04,분당선,338,수원시청,"331,787","355,193",
2021-04,분당선,339,매교,"79,463","81,403",
2021-04,일산선,374,원흥,"266,507","255,178",
2021-04,일산선,375,지축,1,0,
2021-04,일산선,376,삼송,"493,672","482,845",
2021-04,일산선,377,원당,"302,216","290,391",
2021-04,일산선,378,화정,"454,607","467,879",
2021-04,일산선,379,대곡,"51,212","39,964",
2021-04,일산선,380,백석,"264,737","266,657",
2021-04,일산선,381,마두,"196,617","202,779",
2021-04,일산선,382,정발산,"203,425","204,424",
2021-04,일산선,383,주엽,"234,878","235,519",
2021-04,일산선,384,대화,"336,441","270,882",
2021-04,중앙선,135,회기,"656,272","635,545",
2021-04,중앙선,152,중랑,"151,075","145,192",
2021-04,중앙선,153,상봉(시외버스터미널),"167,182","166,897",
2021-04,중앙선,154,망우,"211,175","209,577",
2021-04,중앙선,155,양원,"50,296","50,665",
2021-04,중앙선,156,구리,"366,810","375,327",
2021-04,중앙선,157,도농,"263,763","242,351",
2021-04,중앙선,158,양정,"23,900","20,827",
2021-04,중앙선,159,덕소,"156,225","156,625",
2021-04,중앙선,160,도심,"67,011","54,076",
2021-04,중앙선,161,팔당,"34,139","35,705",
2021-04,중앙선,162,운길산,"34,152","32,421",
2021-04,중앙선,163,양수,"59,129","59,769",
2021-04,중앙선,164,신원,"9,293","7,740",
2021-04,중앙선,165,국수,"24,081","23,588",
2021-04,중앙선,166,아신,"17,879","17,827",
2021-04,중앙선,167,오빈,"9,228","9,171",
2021-04,중앙선,168,양평,"84,474","86,840",
2021-04,중앙선,169,원덕,"13,888","12,959",
2021-04,중앙선,170,용문,"69,789","68,911",
2021-04,중앙선,171,지평,"2,143","2,638",
2021-04,장항선,224,봉명,"32,065","31,276",
2021-04,장항선,225,쌍용(나사렛대),"58,285","54,817",
2021-04,장항선,226,아산,"82,672","75,458",
2021-04,장항선,227,배방,"28,194","27,362",
2021-04,장항선,228,온양온천,"103,606","105,420",
2021-04,장항선,229,신창(순천향대),"43,711","41,632",
2021-04,경의선,173,신촌,"20,823","25,883",
2021-04,경의선,174,효창공원앞,"75,626","86,183",
2021-04,경의선,176,서강대,"55,593","53,481",
2021-04,경의선,178,가좌,"145,100","136,563",
